iter	Passed	Remaining
285	383	957
286	384	954
287	386	955
288	388	954
289	389	953
290	390	950
291	391	948
292	392	946
293	393	944
294	394	942
295	395	941
296	396	939
297	397	936
298	398	933
299	399	931
300	404	938
301	407	941
302	408	939
303	409	937
304	410	934
305	410	931
306	411	929
307	412	926
308	413	924
309	413	921
310	414	918
311	417	920
312	419	919
313	420	918
314	421	916
315	422	914
316	423	912
317	424	910
318	425	908
319	426	906
320	427	903
321	432	911
322	434	910
323	436	910
324	438	909
325	439	908
326	440	905
327	440	903
328	441	900
329	442	898
330	446	903
331	447	901
332	449	899
333	450	898
334	451	897
335	452	894
336	453	893
337	454	890
338	455	888
339	456	885
340	456	882
341	457	880
342	464	889
343	465	887
344	466	885
345	467	883
346	468	881
347	469	879
348	470	877
349	470	874
350	471	872
351	472	869
352	475	871
353	476	869
354	477	867
355	478	865
356	480	865
357	481	863
358	482	861
359	483	859
360	484	857
361	485	855
362	486	853
363	487	851
364	495	861
365	496	859
366	497	857
367	498	855
368	499	853
369	499	851
370	500	849
371	501	847
372	502	844
373	506	848
374	508	846
375	508	844
376	509	842
377	511	840
378	512	839
379	513	837
380	514	835
381	514	832
382	515	831
383	517	829
384	523	836
385	525	835
386	525	833
387	526	830
388	527	828
389	528	825
390	529	824
391	530	822
392	531	820
393	531	817
394	532	815
395	535	817
396	536	815
397	537	813
398	538	811
399	540	810
400	541	808
401	542	806
402	543	805
403	544	803
404	545	801
405	552	808
406	554	807
407	555	805
408	556	804
409	557	802
410	558	800
411	559	798
412	560	797
413	561	795
414	562	792
415	565	793
416	566	792
417	567	790
418	568	788
419	569	786
420	570	784
421	572	783
422	573	782
423	574	780
424	575	778
425	575	775
426	576	773
427	583	780
428	584	778
429	585	776
430	586	774
431	587	772
432	587	769
433	588	767
434	589	765
435	590	764
436	591	762
437	594	762
438	596	762
439	598	761
440	599	759
441	600	758
442	601	756
443	602	754
444	603	752
445	604	750
446	604	748
447	605	746
448	606	744
449	610	745
450	611	744
451	612	743
452	614	742
453	630	757
454	631	756
455	633	756
456	637	757
457	646	764
458	649	765
459	651	764
460	691	808
461	695	809
462	696	808
463	698	806
464	701	806
465	707	811
466	710	810
467	711	808
468	716	811
469	717	809
470	718	807
471	720	806
472	722	804
473	723	802
474	724	801
475	727	800
476	729	799
477	730	798
478	741	806
479	744	806
480	746	805
481	747	803
482	751	804
483	752	802
484	753	800
485	754	798
486	757	797
487	763	800
488	764	799
489	766	797
490	767	795
491	769	794
492	770	792
493	772	791
494	773	789
495	776	789
496	778	787
497	778	785
498	779	783
499	780	780
500	781	778
501	782	776
502	782	773
503	783	771
504	784	768
505	785	766
506	788	766
507	789	764
508	790	762
509	791	760
510	792	758
511	793	756
512	796	755
513	797	754
514	798	751
515	799	749
516	805	752
517	806	750
518	807	748
519	810	747
520	811	746
521	812	744
522	813	741
523	814	739
524	817	739
525	819	738
526	820	736
527	822	734
528	824	733
529	825	732
530	826	730
531	827	728
532	828	726
533	834	728
534	835	726
535	837	724
536	838	722
537	839	720
538	839	718
539	840	716
540	842	714
541	843	712
542	850	715
543	851	714
544	853	712
545	854	710
546	855	708
547	857	706
548	857	704
549	858	702
550	864	704
551	865	702
552	867	701
553	868	699
554	869	696
555	869	694
556	870	692
557	871	690
558	871	687
559	872	685
560	873	683
561	874	681
562	877	680
563	878	678
564	879	677
565	880	675
566	882	673
567	883	671
568	884	669
569	885	667
570	885	665
571	886	663
572	887	661
573	888	659
574	888	656
575	892	657
576	895	656
577	895	654
578	896	652
579	897	649
580	898	647
581	899	645
582	899	643
583	900	641
584	901	639
585	902	637
586	902	635
587	903	633
588	904	631
589	906	629
590	907	628
591	909	626
592	910	624
593	911	623
594	912	621
595	913	619
596	914	617
597	915	615
598	916	613
599	923	615
600	925	614
601	926	612
602	927	610
603	928	608
604	929	606
605	930	604
606	930	602
607	931	600
608	936	601
609	937	599
610	938	597
611	940	596
612	941	594
613	942	592
614	943	590
615	944	588
616	945	586
617	945	584
618	946	582
619	949	582
620	953	582
621	954	580
622	955	578
623	956	576
624	957	574
625	958	572
626	958	570
627	959	568
628	960	566
629	961	564
630	961	562
631	964	561
632	966	560
633	967	558
634	969	557
635	970	555
636	971	553
637	972	552
638	973	550
639	974	548
640	975	546
641	975	544
642	976	542
643	980	541
644	981	540
645	982	538
646	983	536
647	984	534
648	985	532
649	986	530
650	986	529
651	987	527
652	988	525
653	989	523
654	990	521
655	991	519
656	991	517
657	994	516
658	995	515
659	996	513
660	997	511
661	998	509
662	999	508
663	1001	506
664	1002	505
665	1003	503
666	1004	501
667	1005	499
668	1006	497
669	1006	495
670	1012	496
671	1013	494
672	1014	492
673	1015	491
674	1016	489
675	1016	487
676	1017	485
677	1018	483
678	1019	481
679	1019	479
680	1020	478
681	1021	476
682	1021	474
683	1024	473
684	1025	471
685	1026	469
686	1027	468
687	1028	466
688	1029	464
689	1030	462
690	1031	461
691	1031	459
692	1032	457
693	1034	456
694	1036	454
695	1038	453
696	1040	452
697	1041	450
698	1042	449
699	1043	447
700	1044	445
701	1045	443
702	1046	442
703	1047	440
704	1048	438
705	1049	436
706	1049	435
707	1051	433
708	1053	432
709	1054	430
710	1055	429
711	1056	427
712	1058	426
713	1060	424
714	1060	422
715	1061	421
716	1062	419
717	1062	417
718	1063	415
719	1064	413
720	1068	413
721	1069	411
722	1070	410
723	1071	408
724	1072	406
725	1073	405
726	1074	403
727	1074	401
728	1075	399
729	1076	398
730	1077	396
731	1077	394
732	1078	392
733	1079	391
734	1081	390
735	1083	388
736	1084	386
737	1085	385
738	1086	383
739	1087	382
740	1088	380
741	1089	378
742	1089	377
743	1090	375
744	1091	373
745	1092	371
746	1092	370
747	1093	368
748	1094	366
749	1099	366
750	1100	364
751	1101	363
752	1102	361
753	1103	359
754	1104	358
755	1104	356
756	1105	354
757	1106	353
758	1106	351
759	1107	349
760	1108	348
761	1109	346
762	1111	345
763	1112	343
764	1114	342
765	1115	340
766	1117	339
767	1118	337
768	1119	336
769	1120	334
770	1121	333
771	1123	331
772	1128	331
773	1130	329
774	1131	328
775	1132	326
776	1133	325
777	1134	323
778	1134	321
779	1135	320
780	1136	318
781	1136	316
782	1137	315
783	1138	313
784	1139	311
785	1142	310
786	1142	309
787	1144	307
788	1145	306
789	1146	304
790	1147	303
791	1148	301
792	1149	300
793	1150	298
794	1150	296
795	1151	295
796	1152	293
797	1153	291
798	1153	290
799	1160	290
800	1161	288
801	1162	287
802	1163	285
803	1164	283
804	1164	282
805	1165	280
806	1166	278
807	1167	277
808	1168	275
809	1169	274
810	1171	273
811	1172	271
812	1173	269
813	1174	268
814	1176	266
815	1177	265
816	1178	263
817	1179	262
818	1179	260
819	1180	259
820	1181	257
821	1182	255
822	1182	254
823	1183	252
824	1189	252
825	1190	250
826	1192	249
827	1192	247
828	1193	246
829	1194	244
830	1195	243
831	1196	241
832	1196	239
833	1197	238
834	1198	236
835	1201	235
836	1203	234
837	1204	232
838	1205	231
839	1207	229
840	1208	228
841	1209	226
842	1209	225
843	1210	223
844	1212	222
845	1213	220
846	1219	220
847	1221	218
848	1223	217
849	1224	216
850	1225	214
851	1226	213
852	1227	211
853	1227	209
854	1232	208
855	1234	207
856	1235	206
857	1238	204
858	1241	203
859	1244	202
860	1246	201
861	1247	199
862	1249	198
863	1253	197
864	1254	195
865	1256	194
866	1258	193
867	1259	191
868	1263	190
869	1274	190
870	1276	189
871	1278	187
872	1279	186
873	1286	185
874	1288	184
875	1292	183
876	1294	181
877	1302	180
878	1304	179
879	1306	178
880	1308	176
881	1310	175
882	1311	173
883	1316	172
884	1334	173
885	1335	171
886	1337	170
887	1338	168
888	1340	167
889	1341	165
890	1343	164
891	1351	163
892	1352	162
893	1354	160
894	1367	160
895	1369	158
896	1370	157
897	1371	155
898	1372	154
899	1373	152
900	1374	151
901	1378	149
902	1380	148
903	1382	146
904	1383	145
905	1385	143
906	1400	143
907	1401	142
908	1403	140
909	1405	139
910	1411	137
911	1413	136
912	1414	134
913	1415	133
914	1417	131
915	1420	130
916	1427	129
917	1428	127
918	1429	125
919	1429	124
920	1431	122
921	1432	121
922	1433	119
923	1434	117
924	1434	116
925	1435	114
926	1436	113
927	1438	111
928	1440	110
929	1441	108
930	1443	106
931	1444	105
932	1445	103
933	1446	102
934	1447	100
935	1448	99
936	1448	97
937	1449	95
938	1450	94
939	1451	92
940	1456	91
941	1457	89
942	1458	88
943	1458	86
944	1459	84
945	1460	83
946	1461	81
947	1462	80
948	1462	78
949	1463	77
950	1464	75
951	1464	73
952	1465	72
953	1466	70
954	1469	69
955	1470	67
956	1470	66
957	1471	64
958	1473	62
959	1474	61
960	1475	59
961	1476	58
962	1477	56
963	1477	55
964	1478	53
965	1479	52
966	1480	50
967	1484	49
968	1485	47
969	1486	45
970	1487	44
971	1488	42
972	1489	41
973	1490	39
974	1490	38
975	1491	36
976	1492	35
977	1493	33
978	1493	32
979	1494	30
980	1495	28
981	1498	27
982	1500	25
983	1501	24
984	1502	22
985	1504	21
986	1505	19
987	1506	18
988	1507	16
989	1507	15
990	1508	13
991	1509	12
992	1510	10
993	1512	9
994	1513	7
995	1514	6
996	1515	4
997	1515	3
998	1516	1
999	1517	0
